Enabled,GroupName,TargetName,ActionType,TargetPath,IfNotFound,Description,Segment
1,ExplorerHistory,RecentFiles,DeletePath,%APPDATA%\Microsoft\Windows\Recent\*,Skip,最近使ったファイル,
1,ExplorerHistory,AutoDestinations,DeletePath,%APPDATA%\Microsoft\Windows\Recent\AutomaticDestinations\*,Skip,自動ジャンプリスト,
1,ExplorerHistory,CustomDestinations,DeletePath,%APPDATA%\Microsoft\Windows\Recent\CustomDestinations\*,Skip,カスタムジャンプリスト,
1,ExplorerHistory,RunMRU,ClearRegistry,HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU,Skip,ファイル名を指定して実行の履歴,
1,ExplorerHistory,TypedPaths,ClearRegistry,HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths,Skip,エクスプローラーパス入力履歴,
1,ExplorerHistory,WordWheelQuery,ClearRegistry,HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\WordWheelQuery,Skip,エクスプローラー検索履歴,
1,ExplorerHistory,OpenSaveMRU,ClearRegistry,HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU,Skip,ファイルダイアログ履歴,
1,ExplorerHistory,LastVisitedMRU,ClearRegistry,HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\LastVisitedPidlMRU,Skip,最後に参照したフォルダ履歴,
1,ExplorerHistory,StreamMRU,ClearRegistry,HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\StreamMRU,Skip,ストリームMRU,
1,EventLogs,AllEventLogs,Special,clear-all-eventlogs,Skip,イベントログ全消去,
1,IMECache,InputMethodCache,DeletePath,%APPDATA%\Microsoft\InputMethod\*,Skip,IME予測キャッシュ,
1,TempFiles,UserTemp,DeletePath,%TEMP%\*,Skip,ユーザー一時ファイル,
1,TempFiles,SystemTemp,DeletePath,%windir%\Temp\*,Skip,システム一時ファイル,
1,SystemCache,Clipboard,Command,Set-Clipboard $null,Skip,クリップボード,
1,SystemCache,DnsCache,Command,Clear-DnsClientCache,Skip,DNSキャッシュ,
1,RecycleBin,RecycleBin,Special,recycle-bin,Skip,ごみ箱,
1,OfficeMRU,OfficeMRU,Special,office-mru,Skip,Office最近使ったファイル,
1,BrowserEdge,EdgeCleanup,Special,edge-cleanup,Skip,Microsoft Edgeデータ,
1,BrowserChrome,ChromeCleanup,Special,chrome-cleanup,Skip,Google Chromeデータ,
1,SearchIndex,WindowsSearch,Special,search-index,Skip,Windows Searchインデックス,
1,ThumbnailCache,ThumbCache,DeletePath,%LOCALAPPDATA%\Microsoft\Windows\Explorer\thumbcache_*.db,Skip,サムネイルキャッシュ,
1,ThumbnailCache,IconCache,DeletePath,%LOCALAPPDATA%\Microsoft\Windows\Explorer\iconcache_*.db,Skip,アイコンキャッシュ,
1,PrefetchCache,Prefetch,DeletePath,%windir%\Prefetch\*,Skip,プリフェッチキャッシュ,
1,WSUS,WsusPingID,Command,"Remove-ItemProperty -Path ""HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\WindowsUpdate"" -Name ""PingID"" -Force -ErrorAction SilentlyContinue",Skip,WSUS PingID,
1,WSUS,WsusAccountDomainSid,Command,"Remove-ItemProperty -Path ""HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\WindowsUpdate"" -Name ""AccountDomainSid"" -Force -ErrorAction SilentlyContinue",Skip,WSUS AccountDomainSid,
1,WSUS,WsusSusClientId,Command,"Remove-ItemProperty -Path ""HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\WindowsUpdate"" -Name ""SusClientId"" -Force -ErrorAction SilentlyContinue",Skip,WSUS SusClientId,
1,WSUS,WsusSusClientIDValidation,Command,"Remove-ItemProperty -Path ""HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\WindowsUpdate"" -Name ""SusClientIDValidation"" -Force -ErrorAction SilentlyContinue",Skip,WSUS SusClientIDValidation,
1,OfficeUserInfo,OfficeUserName,Command,"Remove-ItemProperty -Path ""HKCU:\Software\Microsoft\Office\Common\UserInfo"" -Name ""UserName"" -Force -ErrorAction SilentlyContinue",Skip,Office UserName,
1,OfficeUserInfo,OfficeUserInitials,Command,"Remove-ItemProperty -Path ""HKCU:\Software\Microsoft\Office\Common\UserInfo"" -Name ""UserInitials"" -Force -ErrorAction SilentlyContinue",Skip,Office UserInitials,
1,TaskBar,TaskBarPins,DeletePath,%APPDATA%\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\*,Skip,タスクバーピン留めショートカット,
1,WiFiSSID,WiFiSSID,Special,wifi-ssid,Skip,キッティング用Wi-Fiプロファイル,
