Enabled,AdminID,SettingTitle,Scope,KeyPath,ValueName,Action,Type,Value,PolicyRef,Segment
1,1,自動更新を構成する = 無効,Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,NoAutoUpdate,Set,REG_DWORD,1,WindowsUpdate:AutoUpdateCfg=Disabled,
1,2,自動更新を構成する = 無効 (要素クリア),Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,AUOptions,Delete,,,WindowsUpdate:AutoUpdateCfg=Disabled,
1,3,自動更新を構成する = 無効 (要素クリア),Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,AutomaticMaintenanceEnabled,Delete,,,WindowsUpdate:AutoUpdateCfg=Disabled,
1,4,自動更新を構成する = 無効 (要素クリア),Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,ScheduledInstallDay,Delete,,,WindowsUpdate:AutoUpdateCfg=Disabled,
1,5,自動更新を構成する = 無効 (要素クリア),Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,ScheduledInstallTime,Delete,,,WindowsUpdate:AutoUpdateCfg=Disabled,
1,6,自動更新を構成する = 無効 (要素クリア),Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,ScheduledInstallEveryWeek,Delete,,,WindowsUpdate:AutoUpdateCfg=Disabled,
1,7,自動更新を構成する = 無効 (要素クリア),Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,ScheduledInstallFirstWeek,Delete,,,WindowsUpdate:AutoUpdateCfg=Disabled,
1,8,自動更新を構成する = 無効 (要素クリア),Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,ScheduledInstallSecondWeek,Delete,,,WindowsUpdate:AutoUpdateCfg=Disabled,
1,9,自動更新を構成する = 無効 (要素クリア),Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,ScheduledInstallThirdWeek,Delete,,,WindowsUpdate:AutoUpdateCfg=Disabled,
1,10,自動更新を構成する = 無効 (要素クリア),Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,ScheduledInstallFourthWeek,Delete,,,WindowsUpdate:AutoUpdateCfg=Disabled,
1,11,自動更新を構成する = 無効 (要素クリア),Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,AllowMUUpdateService,Delete,,,WindowsUpdate:AutoUpdateCfg=Disabled,
1,12,ログオン中のユーザーがいる場合は自動再起動しない = 有効,Machine,Software\Policies\Microsoft\Windows\WindowsUpdate\AU,NoAutoRebootWithLoggedOnUsers,Set,REG_DWORD,1,WindowsUpdate:NoAutoRebootWithLoggedOnUsers_Title=Enabled,
1,13,クラシック表示のコントロール パネルを強制 = 有効,User,Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,ForceClassicControlPanel,Set,REG_DWORD,1,ControlPanel:ForceClassicControlPanel=Enabled,
