Column,Value,Label
Enabled,1,有効
Enabled,0,無効
PowerPlan,BALANCED,バランス
PowerPlan,HIGH_PERFORMANCE,高パフォーマンス
PowerPlan,POWER_SAVER,省電力
PowerMode,BEST_EFFICIENCY,最高効率
PowerMode,BALANCED,バランス
PowerMode,BEST_PERFORMANCE,最高パフォーマンス
PowerButton_AC,NOTHING,何もしない
PowerButton_AC,SLEEP,スリープ
PowerButton_AC,HIBERNATE,休止状態
PowerButton_AC,SHUTDOWN,シャットダウン
PowerButton_AC,-,変更しない
PowerButton_Battery,NOTHING,何もしない
PowerButton_Battery,SLEEP,スリープ
PowerButton_Battery,HIBERNATE,休止状態
PowerButton_Battery,SHUTDOWN,シャットダウン
PowerButton_Battery,-,変更しない
SleepButton_AC,NOTHING,何もしない
SleepButton_AC,SLEEP,スリープ
SleepButton_AC,HIBERNATE,休止状態
SleepButton_AC,SHUTDOWN,シャットダウン
SleepButton_AC,-,変更しない
SleepButton_Battery,NOTHING,何もしない
SleepButton_Battery,SLEEP,スリープ
SleepButton_Battery,HIBERNATE,休止状態
SleepButton_Battery,SHUTDOWN,シャットダウン
SleepButton_Battery,-,変更しない
LidClose_AC,NOTHING,何もしない
LidClose_AC,SLEEP,スリープ
LidClose_AC,HIBERNATE,休止状態
LidClose_AC,SHUTDOWN,シャットダウン
LidClose_AC,-,変更しない
LidClose_Battery,NOTHING,何もしない
LidClose_Battery,SLEEP,スリープ
LidClose_Battery,HIBERNATE,休止状態
LidClose_Battery,SHUTDOWN,シャットダウン
LidClose_Battery,-,変更しない
