Enabled,IPAddress,SubnetPrefix,Gateway,DNS1,DNS2,DNS3,AdapterPattern,Description,Segment
0,192.168.100.201,24,192.168.100.1,192.168.100.10,,,Ethernet*,Worker IP #01,
0,192.168.100.202,24,192.168.100.1,192.168.100.10,,,Ethernet*,Worker IP #02,
0,192.168.100.203,24,192.168.100.1,192.168.100.10,,,Ethernet*,Worker IP #03,
0,192.168.100.204,24,192.168.100.1,192.168.100.10,,,Ethernet*,Worker IP #04,
0,192.168.100.205,24,192.168.100.1,192.168.100.10,,,Ethernet*,Worker IP #05,
0,192.168.100.206,24,192.168.100.1,192.168.100.10,,,Ethernet*,Worker IP #06,
0,192.168.100.207,24,192.168.100.1,192.168.100.10,,,Ethernet*,Worker IP #07,
0,192.168.100.208,24,192.168.100.1,192.168.100.10,,,Ethernet*,Worker IP #08,
0,192.168.100.209,24,192.168.100.1,192.168.100.10,,,Ethernet*,Worker IP #09,
0,192.168.100.210,24,192.168.100.1,192.168.100.10,,,Ethernet*,Worker IP #10,
